#1.0 Global and overview maps
hsa01200	Carbon metabolism
hsa01210	2-Oxocarboxylic acid metabolism
hsa01212	Fatty acid metabolism
hsa01230	Biosynthesis of amino acids

#1.1 Carbohydrate metabolism
hsa00010	Glycolysis / Gluconeogenesis
hsa00020	Citrate cycle (TCA cycle)
hsa00030	Pentose phosphate pathway
hsa00040	Pentose and glucuronate interconversions
hsa00051	Fructose and mannose metabolism
hsa00052	Galactose metabolism
hsa00053	Ascorbate and aldarate metabolism
hsa00500	Starch and sucrose metabolism
hsa00520	Amino sugar and nucleotide sugar metabolism
hsa00620	Pyruvate metabolism
hsa00630	Glyoxylate and dicarboxylate metabolism
hsa00640	Propanoate metabolism
hsa00650	Butanoate metabolism
hsa00562	Inositol phosphate metabolism

#1.2 Energy metabolism
hsa00190	Oxidative phosphorylation
hsa00910	Nitrogen metabolism
hsa00920	Sulfur metabolism

#1.3 Lipid metabolism
hsa00061	Fatty acid biosynthesis
hsa00062	Fatty acid elongation
hsa00071	Fatty acid degradation
hsa00072	Synthesis and degradation of ketone bodies
hsa00100	Steroid biosynthesis
hsa00120	Primary bile acid biosynthesis
hsa00140	Steroid hormone biosynthesis
hsa00561	Glycerolipid metabolism
hsa00564	Glycerophospholipid metabolism
hsa00565	Ether lipid metabolism
hsa00600	Sphingolipid metabolism
hsa00590	Arachidonic acid metabolism
hsa00591	Linoleic acid metabolism
hsa00592	alpha-Linolenic acid metabolism
hsa01040	Biosynthesis of unsaturated fatty acids

#1.4 Nucleotide metabolism
hsa00230	Purine metabolism
hsa00240	Pyrimidine metabolism

#1.5 Amino acid metabolism
hsa00250	Alanine, aspartate and glutamate metabolism
hsa00260	Glycine, serine and threonine metabolism
hsa00270	Cysteine and methionine metabolism
hsa00280	Valine, leucine and isoleucine degradation
hsa00290	Valine, leucine and isoleucine biosynthesis
hsa00300	Lysine biosynthesis
hsa00310	Lysine degradation
hsa00220	Arginine biosynthesis
hsa00330	Arginine and proline metabolism
hsa00340	Histidine metabolism
hsa00350	Tyrosine metabolism
hsa00360	Phenylalanine metabolism
hsa00380	Tryptophan metabolism
hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis

#1.6 Metabolism of other amino acids
hsa00410	beta-Alanine metabolism
hsa00430	Taurine and hypotaurine metabolism
hsa00450	Selenocompound metabolism
hsa00460	Cyanoamino acid metabolism
hsa00471	D-Glutamine and D-glutamate metabolism
hsa00472	D-Arginine and D-ornithine metabolism
hsa00480	Glutathione metabolism

#1.7 Glycan biosynthesis and metabolism
hsa00510	N-Glycan biosynthesis
hsa00512	Mucin type O-Glycan biosynthesis
hsa00514	Other types of O-glycan biosynthesis
hsa00532	Glycosaminoglycan biosynthesis
hsa00534	Glycosaminoglycan biosynthesis
hsa00533	Glycosaminoglycan biosynthesis
hsa00531	Glycosaminoglycan degradation
hsa00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
hsa00601	Glycosphingolipid biosynthesis
hsa00603	Glycosphingolipid biosynthesis
hsa00604	Glycosphingolipid biosynthesis
hsa00511	Other glycan degradation

#1.8 Metabolism of cofactors and vitamins
hsa00730	Thiamine metabolism
hsa00740	Riboflavin metabolism
hsa00750	Vitamin B6 metabolism
hsa00760	Nicotinate and nicotinamide metabolism
hsa00770	Pantothenate and CoA biosynthesis
hsa00780	Biotin metabolism
hsa00785	Lipoic acid metabolism
hsa00790	Folate biosynthesis
hsa00670	One carbon pool by folate
hsa00830	Retinol metabolism
hsa00860	Porphyrin and chlorophyll metabolism
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis

#1.9 Metabolism of terpenoids and polyketides
hsa00900	Terpenoid backbone biosynthesis

#1.10 Biosynthesis of other secondary metabolites
hsa00232	Caffeine metabolism
hsa00524	Butirosin and neomycin biosynthesis

#1.11 Xenobiotics biodegradation and metabolism
hsa00980	Metabolism of xenobiotics by cytochrome P450
hsa00982	Drug metabolism
hsa00983	Drug metabolism

#2.2 Translation
hsa00970	Aminoacyl-tRNA biosynthesis

#3.2 Signal transduction
hsa04014	Ras signaling pathway
hsa04015	Rap1 signaling pathway
hsa04010	MAPK signaling pathway
hsa04012	ErbB signaling pathway
hsa04310	Wnt signaling pathway
hsa04330	Notch signaling pathway
hsa04340	Hedgehog signaling pathway
hsa04350	TGF-beta signaling pathway
hsa04390	Hippo signaling pathway
hsa04370	VEGF signaling pathway
hsa04630	Jak-STAT signaling pathway
hsa04064	NF-kappa B signaling pathway
hsa04668	TNF signaling pathway
hsa04066	HIF-1 signaling pathway
hsa04068	FoxO signaling pathway
hsa04020	Calcium signaling pathway
hsa04070	Phosphatidylinositol signaling system
hsa04072	Phospholipase D signaling pathway
hsa04071	Sphingolipid signaling pathway
hsa04024	cAMP signaling pathway
hsa04022	cGMP-PKG signaling pathway
hsa04151	PI3K-Akt signaling pathway
hsa04152	AMPK signaling pathway
hsa04150	mTOR signaling pathway

#3.3 Signaling molecules and interaction
hsa04080	Neuroactive ligand-receptor interaction
hsa04060	Cytokine-cytokine receptor interaction
hsa04512	ECM-receptor interaction
hsa04514	Cell adhesion molecules (CAMs)

#4.2 Cell motility
hsa04810	Regulation of actin cytoskeleton

#4.3 Cell growth and death
hsa04110	Cell cycle
hsa04210	Apoptosis
hsa04115	p53 signaling pathway

#4.4 Cellular community
hsa04510	Focal adhesion
hsa04520	Adherens junction
hsa04530	Tight junction
hsa04540	Gap junction
hsa04550	Signaling pathways regulating pluripotency of stem cells

#5.1 Immune system
hsa04640	Hematopoietic cell lineage
hsa04610	Complement and coagulation cascades
hsa04611	Platelet activation
hsa04620	Toll-like receptor signaling pathway
hsa04621	NOD-like receptor signaling pathway
hsa04622	RIG-I-like receptor signaling pathway
hsa04623	Cytosolic DNA-sensing pathway
hsa04650	Natural killer cell mediated cytotoxicity
hsa04612	Antigen processing and presentation
hsa04660	T cell receptor signaling pathway
hsa04662	B cell receptor signaling pathway
hsa04664	Fc epsilon RI signaling pathway
hsa04666	Fc gamma R-mediated phagocytosis
hsa04670	Leukocyte transendothelial migration
hsa04672	Intestinal immune network for IgA production
hsa04062	Chemokine signaling pathway

#5.2 Endocrine system
hsa04911	Insulin secretion
hsa04910	Insulin signaling pathway
hsa04922	Glucagon signaling pathway
hsa04923	Regulation of lipolysis in adipocytes
hsa04920	Adipocytokine signaling pathway
hsa03320	PPAR signaling pathway
hsa04912	GnRH signaling pathway
hsa04913	Ovarian steroidogenesis
hsa04915	Estrogen signaling pathway
hsa04917	Prolactin signaling pathway
hsa04921	Oxytocin signaling pathway
hsa04918	Thyroid hormone synthesis
hsa04919	Thyroid hormone signaling pathway
hsa04916	Melanogenesis
hsa04924	Renin secretion
hsa04614	Renin-angiotensin system
hsa04925	Aldosterone synthesis and secretion

#5.3 Circulatory system
