Entry	Entry Name	Gene Names	Protein names	GeneID	Organism
Q8IYH5	ZZZ3_HUMAN	ZZZ3	ZZ-type zinc finger-containing protein 3	26009;	Homo sapiens (Human)
O43149	ZZEF1_HUMAN	ZZEF1 KIAA0399	Zinc finger ZZ-type and EF-hand domain-containing protein 1	23140;	Homo sapiens (Human)
Q15942	ZYX_HUMAN	ZYX	Zyxin (Zyxin-2)	7791;	Homo sapiens (Human)
Q9C0D3	ZY11B_HUMAN	ZYG11B KIAA1730	Protein zyg-11 homolog B	79699;	Homo sapiens (Human)
Q6WRX3	ZY11A_HUMAN	ZYG11A ZYG11	Protein zyg-11 homolog A	440590;	Homo sapiens (Human)
Q2QGD7	ZXDC_HUMAN	ZXDC ZXDL	Zinc finger protein ZXDC (ZXD-like zinc finger protein)	79364;	Homo sapiens (Human)
P98169	ZXDB_HUMAN	ZXDB	Zinc finger X-linked protein ZXDB	158586;	Homo sapiens (Human)
P98168	ZXDA_HUMAN	ZXDA	Zinc finger X-linked protein ZXDA	7789;	Homo sapiens (Human)
O95229	ZWINT_HUMAN	ZWINT	ZW10 interactor (ZW10-interacting protein 1) (Zwint-1)	11130;	Homo sapiens (Human)
Q9H900	ZWILC_HUMAN	ZWILCH	Protein zwilch homolog (hZwilch)	55055;	Homo sapiens (Human)
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	9183;	Homo sapiens (Human)
Q96AP4	ZUP1_HUMAN	ZUP1 C6orf113 ZUFSP	Zinc finger-containing ubiquitin peptidase 1 (EC 3.4.19.12) (Lys-63-specific deubiquitinase ZUFSP) (DUB) (Zinc finger with UFM1-specific peptidase domain protein)	221302;	Homo sapiens (Human)
Q86XI8	ZSWM9_HUMAN	ZSWIM9 C19orf68	Uncharacterized protein ZSWIM9	374920;	Homo sapiens (Human)
A7E2V4	ZSWM8_HUMAN	ZSWIM8 KIAA0913	Zinc finger SWIM domain-containing protein 8	23053;	Homo sapiens (Human)
Q19AV6	ZSWM7_HUMAN	ZSWIM7 SWS1	Zinc finger SWIM domain-containing protein 7 (SWIM domain-containing and Srs2-interacting protein 1 homolog) (SWIM-type zinc finger domain-containing protein 7)	125150;	Homo sapiens (Human)
Q9HCJ5	ZSWM6_HUMAN	ZSWIM6 KIAA1577	Zinc finger SWIM domain-containing protein 6	57688;	Homo sapiens (Human)
Q9P217	ZSWM5_HUMAN	ZSWIM5 KIAA1511	Zinc finger SWIM domain-containing protein 5	57643;	Homo sapiens (Human)
Q9H7M6	ZSWM4_HUMAN	ZSWIM4	Zinc finger SWIM domain-containing protein 4	65249;	Homo sapiens (Human)
Q96MP5	ZSWM3_HUMAN	ZSWIM3 C20orf164	Zinc finger SWIM domain-containing protein 3	140831;	Homo sapiens (Human)
Q8NEG5	ZSWM2_HUMAN	ZSWIM2 ZZZ2	E3 ubiquitin-protein ligase ZSWIM2 (EC 2.3.2.27) (MEKK1-related protein X) (MEX) (RING-type E3 ubiquitin transferase ZSWIM2) (ZZ-type zinc finger-containing protein 2) (Zinc finger SWIM domain-containing protein 2)	151112;	Homo sapiens (Human)
Q9BR11	ZSWM1_HUMAN	ZSWIM1 C20orf162	Zinc finger SWIM domain-containing protein 1	90204;	Homo sapiens (Human)
Q8NAM6	ZSCA4_HUMAN	ZSCAN4 ZNF494	Zinc finger and SCAN domain-containing protein 4 (Zinc finger protein 494)	201516;	Homo sapiens (Human)
Q7Z7L9	ZSCA2_HUMAN	ZSCAN2 ZFP29 ZNF854	Zinc finger and SCAN domain-containing protein 2 (Zinc finger protein 29 homolog) (Zfp-29) (Zinc finger protein 854)	54993;	Homo sapiens (Human)
Q8NBB4	ZSCA1_HUMAN	ZSCAN1	Zinc finger and SCAN domain-containing protein 1	284312;	Homo sapiens (Human)
O15535	ZSC9_HUMAN	ZSCAN9 ZNF193 PIG12	Zinc finger and SCAN domain-containing protein 9 (Cell proliferation-inducing gene 12 protein) (PRD51) (Zinc finger protein 193)	7746;	Homo sapiens (Human)
Q9NX65	ZSC32_HUMAN	ZSCAN32 ZNF434 HCCS5	Zinc finger and SCAN domain-containing protein 32 (Human cervical cancer suppressor gene 5 protein) (HCCS-5) (Zinc finger protein 434)	54925;	Homo sapiens (Human)
Q96LW9	ZSC31_HUMAN	ZSCAN31 ZNF310P ZNF323	Zinc finger and SCAN domain-containing protein 31 (Zinc finger protein 323)	64288;	Homo sapiens (Human)
Q86W11	ZSC30_HUMAN	ZSCAN30 ZNF397OS	Zinc finger and SCAN domain-containing protein 30 (ZNF-WYM) (Zinc finger protein 397 opposite strand) (Zinc finger protein 397OS)	100101467;	Homo sapiens (Human)
Q8IWY8	ZSC29_HUMAN	ZSCAN29 ZNF690	Zinc finger and SCAN domain-containing protein 29 (Zinc finger protein 690)	146050;	Homo sapiens (Human)
Q16670	ZSC26_HUMAN	ZSCAN26 ZNF187	Zinc finger and SCAN domain-containing protein 26 (Protein SRE-ZBP) (Zinc finger protein 187)	7741;	Homo sapiens (Human)
Q6NSZ9	ZSC25_HUMAN	ZSCAN25 ZNF498	Zinc finger and SCAN domain-containing protein 25 (Zinc finger protein 498)	221785;	Homo sapiens (Human)
Q3MJ62	ZSC23_HUMAN	ZSCAN23 ZNF390 ZNF453	Zinc finger and SCAN domain-containing protein 23 (Zinc finger protein 390) (Zinc finger protein 453)	222696;	Homo sapiens (Human)
P10073	ZSC22_HUMAN	ZSCAN22 HKR2 ZNF50	Zinc finger and SCAN domain-containing protein 22 (Krueppel-related zinc finger protein 2) (Protein HKR2) (Zinc finger protein 50)	342945;	Homo sapiens (Human)
Q9Y5A6	ZSC21_HUMAN	ZSCAN21 ZFP38 ZNF38	Zinc finger and SCAN domain-containing protein 21 (Renal carcinoma antigen NY-REN-21) (Zinc finger protein 38 homolog) (Zfp-38)	7589;	Homo sapiens (Human)
P17040	ZSC20_HUMAN	ZSCAN20 KOX29 ZNF31 ZNF360	Zinc finger and SCAN domain-containing protein 20 (Zinc finger protein 31) (Zinc finger protein 360) (Zinc finger protein KOX29)	7579;	Homo sapiens (Human)
Q8TBC5	ZSC18_HUMAN	ZSCAN18 ZNF447	Zinc finger and SCAN domain-containing protein 18 (Zinc finger protein 447)	65982;	Homo sapiens (Human)
Q9H4T2	ZSC16_HUMAN	ZSCAN16 ZNF392 ZNF435	Zinc finger and SCAN domain-containing protein 16 (Zinc finger protein 392) (Zinc finger protein 435)	80345;	Homo sapiens (Human)
O43309	ZSC12_HUMAN	ZSCAN12 KIAA0426 ZNF305 ZNF96	Zinc finger and SCAN domain-containing protein 12 (Zinc finger protein 305) (Zinc finger protein 96)	9753;	Homo sapiens (Human)
Q96SZ4	ZSC10_HUMAN	ZSCAN10 ZNF206	Zinc finger and SCAN domain-containing protein 10 (Zinc finger protein 206)	84891;	Homo sapiens (Human)
P0CG00	ZSA5D_HUMAN	ZSCAN5DP ZSCAN5D	Putative zinc finger and SCAN domain-containing protein 5D (Zinc finger and SCAN domain-containing protein 5D pseudogene)		Homo sapiens (Human)
A6NGD5	ZSA5C_HUMAN	ZSCAN5C ZSCAN5CP	Zinc finger and SCAN domain-containing protein 5C (Zinc finger and SCAN domain-containing protein 5C pseudogene)		Homo sapiens (Human)
A6NJL1	ZSA5B_HUMAN	ZSCAN5B	Zinc finger and SCAN domain-containing protein 5B	342933;	Homo sapiens (Human)
Q9BUG6	ZSA5A_HUMAN	ZSCAN5A ZNF495 ZSCAN5	Zinc finger and SCAN domain-containing protein 5A (Zinc finger protein 495)	79149;	Homo sapiens (Human)
